yourlist:M202005078BC4D7ADE02784B0C2481C7F3DE0963A1A0CE37	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q08999	Q08999	RBL2_HUMAN	reviewed	Retinoblastoma-like protein 2 (130 kDa retinoblastoma-associated protein) (p130) (Retinoblastoma-related protein 2) (RBR-2) (pRb2)	RBL2 RB2	Homo sapiens (Human)	1139
P46013	P46013	KI67_HUMAN	reviewed	Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67) (Antigen KI-67) (Antigen Ki67)	MKI67	Homo sapiens (Human)	3256
Q14790	Q14790	CASP8_HUMAN	reviewed	Caspase-8 (CASP-8) (EC 3.4.22.61) (Apoptotic cysteine protease) (Apoptotic protease Mch-5) (CAP4) (FADD-homologous ICE/ced-3-like protease) (FADD-like ICE) (FLICE) (ICE-like apoptotic protease 5) (MORT1-associated ced-3 homolog) (MACH) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10]	CASP8 MCH5	Homo sapiens (Human)	479
Q14192	Q14192	FHL2_HUMAN	reviewed	Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3)	FHL2 DRAL SLIM3	Homo sapiens (Human)	279
Q13683	Q13683	ITA7_HUMAN	reviewed	Integrin alpha-7 [Cleaved into: Integrin alpha-7 heavy chain; Integrin alpha-7 light chain; Integrin alpha-7 70 kDa form]	ITGA7 UNQ406/PRO768	Homo sapiens (Human)	1181
P26006	P26006	ITA3_HUMAN	reviewed	Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	ITGA3 MSK18	Homo sapiens (Human)	1051
O43561	O43561	LAT_HUMAN	reviewed	Linker for activation of T-cells family member 1 (36 kDa phospho-tyrosine adapter protein) (pp36) (p36-38)	LAT	Homo sapiens (Human)	262
P05107	P05107	ITB2_HUMAN	reviewed	Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)	ITGB2 CD18 MFI7	Homo sapiens (Human)	769
Q07889	Q07889	SOS1_HUMAN	reviewed	Son of sevenless homolog 1 (SOS-1)	SOS1	Homo sapiens (Human)	1333
P49418	P49418	AMPH_HUMAN	reviewed	Amphiphysin	AMPH AMPH1	Homo sapiens (Human)	695
Q05193	Q05193	DYN1_HUMAN	reviewed	Dynamin-1 (EC 3.6.5.5)	DNM1 DNM	Homo sapiens (Human)	864
P50570	P50570	DYN2_HUMAN	reviewed	Dynamin-2 (EC 3.6.5.5)	DNM2 DYN2	Homo sapiens (Human)	870
Q99961	Q99961	SH3G1_HUMAN	reviewed	Endophilin-A2 (EEN fusion partner of MLL) (Endophilin-2) (Extra eleven-nineteen leukemia fusion gene protein) (EEN) (SH3 domain protein 2B) (SH3 domain-containing GRB2-like protein 1)	SH3GL1 CNSA1 SH3D2B	Homo sapiens (Human)	368
P46939	P46939	UTRO_HUMAN	reviewed	Utrophin (Dystrophin-related protein 1) (DRP-1)	UTRN DMDL DRP1	Homo sapiens (Human)	3433
Q13474	Q13474	DRP2_HUMAN	reviewed	Dystrophin-related protein 2 (DRP-2)	DRP2	Homo sapiens (Human)	957
P11532	P11532	DMD_HUMAN	reviewed	Dystrophin	DMD	Homo sapiens (Human)	3685
Q14188	Q14188	TFDP2_HUMAN	reviewed	Transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2 DP2	Homo sapiens (Human)	446
P27361	P27361	MK03_HUMAN	reviewed	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	MAPK3 ERK1 PRKM3	Homo sapiens (Human)	379
Q15311	Q15311	RBP1_HUMAN	reviewed	RalA-binding protein 1 (RalBP1) (76 kDa Ral-interacting protein) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (Ral-interacting protein 1)	RALBP1 RLIP1 RLIP76	Homo sapiens (Human)	655
Q8NFH8	Q8NFH8	REPS2_HUMAN	reviewed	RalBP1-associated Eps domain-containing protein 2 (Partner of RalBP1) (RalBP1-interacting protein 2)	REPS2 POB1	Homo sapiens (Human)	660
P52435	P52435	RPB11_HUMAN	reviewed	DNA-directed RNA polymerase II subunit RPB11-a (RNA polymerase II subunit B11-a) (RPB11a) (DNA-directed RNA polymerase II subunit J-1) (RNA polymerase II 13.3 kDa subunit)	POLR2J POLR2J1	Homo sapiens (Human)	117
Q99708	Q99708	CTIP_HUMAN	reviewed	DNA endonuclease RBBP8 (EC 3.1.-.-) (CtBP-interacting protein) (CtIP) (Retinoblastoma-binding protein 8) (RBBP-8) (Retinoblastoma-interacting protein and myosin-like) (RIM) (Sporulation in the absence of SPO11 protein 2 homolog) (SAE2)	RBBP8 CTIP	Homo sapiens (Human)	897
P06396	P06396	GELS_HUMAN	reviewed	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	GSN	Homo sapiens (Human)	782
O60880	O60880	SH21A_HUMAN	reviewed	SH2 domain-containing protein 1A (Duncan disease SH2-protein) (Signaling lymphocytic activation molecule-associated protein) (SLAM-associated protein) (T-cell signal transduction molecule SAP)	SH2D1A DSHP SAP	Homo sapiens (Human)	128
P07359	P07359	GP1BA_HUMAN	reviewed	Platelet glycoprotein Ib alpha chain (GP-Ib alpha) (GPIb-alpha) (GPIbA) (Glycoprotein Ibalpha) (Antigen CD42b-alpha) (CD antigen CD42b) [Cleaved into: Glycocalicin]	GP1BA	Homo sapiens (Human)	652
P42566	P42566	EPS15_HUMAN	reviewed	Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p)	EPS15 AF1P	Homo sapiens (Human)	896
O14807	O14807	RASM_HUMAN	reviewed	Ras-related protein M-Ras (Ras-related protein R-Ras3)	MRAS RRAS3	Homo sapiens (Human)	208
Q06187	Q06187	BTK_HUMAN	reviewed	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	Homo sapiens (Human)	659
P31994	P31994	FCG2B_HUMAN	reviewed	Low affinity immunoglobulin gamma Fc region receptor II-b (IgG Fc receptor II-b) (CDw32) (Fc-gamma RII-b) (Fc-gamma-RIIb) (FcRII-b) (CD antigen CD32)	FCGR2B CD32 FCG2 IGFR2	Homo sapiens (Human)	310
Q6ZTM8	Q6ZTM8	Q6ZTM8_HUMAN	unreviewed	cDNA FLJ44499 fis, clone UTERU3000665, highly similar to Homo sapiens Snf2-related CBP activator protein (SRCAP)		Homo sapiens (Human)	559
O14796	O14796	SH21B_HUMAN	reviewed	SH2 domain-containing protein 1B (EWS/FLI1-activated transcript 2) (EAT-2)	SH2D1B EAT2	Homo sapiens (Human)	132
Q9Y6C2	Q9Y6C2	EMIL1_HUMAN	reviewed	EMILIN-1 (Elastin microfibril interface-located protein 1) (Elastin microfibril interfacer 1)	EMILIN1 EMI	Homo sapiens (Human)	1016
P37198	P37198	NUP62_HUMAN	reviewed	Nuclear pore glycoprotein p62 (62 kDa nucleoporin) (Nucleoporin Nup62)	NUP62	Homo sapiens (Human)	522
P35658	P35658	NU214_HUMAN	reviewed	Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN)	NUP214 CAIN CAN KIAA0023	Homo sapiens (Human)	2090
Q13326	Q13326	SGCG_HUMAN	reviewed	Gamma-sarcoglycan (Gamma-SG) (35 kDa dystrophin-associated glycoprotein) (35DAG)	SGCG	Homo sapiens (Human)	291
Q14315	Q14315	FLNC_HUMAN	reviewed	Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)	FLNC ABPL FLN2	Homo sapiens (Human)	2725
P28827	P28827	PTPRM_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase mu (Protein-tyrosine phosphatase mu) (R-PTP-mu) (EC 3.1.3.48)	PTPRM PTPRL1	Homo sapiens (Human)	1452
P16284	P16284	PECA1_HUMAN	reviewed	Platelet endothelial cell adhesion molecule (PECAM-1) (EndoCAM) (GPIIA') (PECA1) (CD antigen CD31)	PECAM1	Homo sapiens (Human)	738
O43187	O43187	IRAK2_HUMAN	reviewed	Interleukin-1 receptor-associated kinase-like 2 (IRAK-2)	IRAK2	Homo sapiens (Human)	625
P51617	P51617	IRAK1_HUMAN	reviewed	Interleukin-1 receptor-associated kinase 1 (IRAK-1) (EC 2.7.11.1)	IRAK1 IRAK	Homo sapiens (Human)	712
O14514	O14514	AGRB1_HUMAN	reviewed	Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]	ADGRB1 BAI1	Homo sapiens (Human)	1584
Q13224	Q13224	NMDE2_HUMAN	reviewed	Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B) (N-methyl-D-aspartate receptor subunit 3) (NR3) (hNR3)	GRIN2B NMDAR2B	Homo sapiens (Human)	1484
O43639	O43639	NCK2_HUMAN	reviewed	Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta)	NCK2 GRB4	Homo sapiens (Human)	380
Q15942	Q15942	ZYX_HUMAN	reviewed	Zyxin (Zyxin-2)	ZYX	Homo sapiens (Human)	572
P01138	P01138	NGF_HUMAN	reviewed	Beta-nerve growth factor (Beta-NGF)	NGF NGFB	Homo sapiens (Human)	241
P42768	P42768	WASP_HUMAN	reviewed	Wiskott-Aldrich syndrome protein (WASp)	WAS IMD2	Homo sapiens (Human)	502
P49792	P49792	RBP2_HUMAN	reviewed	E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270)	RANBP2 NUP358	Homo sapiens (Human)	3224
P12694	P12694	ODBA_HUMAN	reviewed	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDE1A) (BCKDH E1-alpha)	BCKDHA	Homo sapiens (Human)	445
P12643	P12643	BMP2_HUMAN	reviewed	Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A)	BMP2 BMP2A	Homo sapiens (Human)	396
O95996	O95996	APCL_HUMAN	reviewed	Adenomatous polyposis coli protein 2 (Adenomatous polyposis coli protein-like) (APC-like)	APC2 APCL	Homo sapiens (Human)	2303
P13647	P13647	K2C5_HUMAN	reviewed	Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	KRT5	Homo sapiens (Human)	590
P19012	P19012	K1C15_HUMAN	reviewed	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	KRT15 KRTB	Homo sapiens (Human)	456
P02533	P02533	K1C14_HUMAN	reviewed	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	KRT14	Homo sapiens (Human)	472
P48995	P48995	TRPC1_HUMAN	reviewed	Short transient receptor potential channel 1 (TrpC1) (Transient receptor protein 1) (TRP-1)	TRPC1 TRP1	Homo sapiens (Human)	793
P98161	P98161	PKD1_HUMAN	reviewed	Polycystin-1 (PC1) (Autosomal dominant polycystic kidney disease 1 protein)	PKD1	Homo sapiens (Human)	4303
P68106	P68106	FKB1B_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP1B (PPIase FKBP1B) (EC 5.2.1.8) (12.6 kDa FK506-binding protein) (12.6 kDa FKBP) (FKBP-12.6) (FK506-binding protein 1B) (FKBP-1B) (Immunophilin FKBP12.6) (Rotamase) (h-FKBP-12)	FKBP1B FKBP12.6 FKBP1L FKBP9 OTK4	Homo sapiens (Human)	108
P51532	P51532	SMCA4_HUMAN	reviewed	Transcription activator BRG1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA4) (BRG1-associated factor 190A) (BAF190A) (Mitotic growth and transcription activator) (Protein BRG-1) (Protein brahma homolog 1) (SNF2-beta) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4)	SMARCA4 BAF190A BRG1 SNF2B SNF2L4	Homo sapiens (Human)	1647
Q13185	Q13185	CBX3_HUMAN	reviewed	Chromobox protein homolog 3 (HECH) (Heterochromatin protein 1 homolog gamma) (HP1 gamma) (Modifier 2 protein)	CBX3	Homo sapiens (Human)	183
P45973	P45973	CBX5_HUMAN	reviewed	Chromobox protein homolog 5 (Antigen p25) (Heterochromatin protein 1 homolog alpha) (HP1 alpha)	CBX5 HP1A	Homo sapiens (Human)	191
P27540	P27540	ARNT_HUMAN	reviewed	Aryl hydrocarbon receptor nuclear translocator (ARNT protein) (Class E basic helix-loop-helix protein 2) (bHLHe2) (Dioxin receptor, nuclear translocator) (Hypoxia-inducible factor 1-beta) (HIF-1-beta) (HIF1-beta)	ARNT BHLHE2	Homo sapiens (Human)	789
P67870	P67870	CSK2B_HUMAN	reviewed	Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a)	CSNK2B CK2N G5A	Homo sapiens (Human)	215
P51812	P51812	KS6A3_HUMAN	reviewed	Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)	RPS6KA3 ISPK1 MAPKAPK1B RSK2	Homo sapiens (Human)	740
O14519	O14519	CDKA1_HUMAN	reviewed	Cyclin-dependent kinase 2-associated protein 1 (CDK2-associated protein 1) (Deleted in oral cancer 1) (DOC-1) (Putative oral cancer suppressor)	CDK2AP1 CDKAP1 DOC1	Homo sapiens (Human)	115
P19784	P19784	CSK22_HUMAN	reviewed	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)	CSNK2A2 CK2A2	Homo sapiens (Human)	350
P10398	P10398	ARAF_HUMAN	reviewed	Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks)	ARAF ARAF1 PKS PKS2	Homo sapiens (Human)	606
P46777	P46777	RL5_HUMAN	reviewed	60S ribosomal protein L5 (Large ribosomal subunit protein uL18)	RPL5 MSTP030	Homo sapiens (Human)	297
P05166	P05166	PCCB_HUMAN	reviewed	Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta)	PCCB	Homo sapiens (Human)	539
P46199	P46199	IF2M_HUMAN	reviewed	Translation initiation factor IF-2, mitochondrial (IF-2(Mt)) (IF-2Mt) (IF2(mt))	MTIF2	Homo sapiens (Human)	727
P15884	P15884	ITF2_HUMAN	reviewed	Transcription factor 4 (TCF-4) (Class B basic helix-loop-helix protein 19) (bHLHb19) (Immunoglobulin transcription factor 2) (ITF-2) (SL3-3 enhancer factor 2) (SEF-2)	TCF4 BHLHB19 ITF2 SEF2	Homo sapiens (Human)	667
P15923	P15923	TFE2_HUMAN	reviewed	Transcription factor E2-alpha (Class B basic helix-loop-helix protein 21) (bHLHb21) (Immunoglobulin enhancer-binding factor E12/E47) (Immunoglobulin transcription factor 1) (Kappa-E2-binding factor) (Transcription factor 3) (TCF-3) (Transcription factor ITF-1)	TCF3 BHLHB21 E2A ITF1	Homo sapiens (Human)	654
P16144	P16144	ITB4_HUMAN	reviewed	Integrin beta-4 (GP150) (CD antigen CD104)	ITGB4	Homo sapiens (Human)	1822
P18054	P18054	LOX12_HUMAN	reviewed	Polyunsaturated fatty acid lipoxygenase ALOX12 (EC 1.13.11.-) (Arachidonate (12S)-lipoxygenase) (12S-LOX) (12S-lipoxygenase) (EC 1.13.11.31) (Arachidonate (15S)-lipoxygenase) (EC 1.13.11.33) (Linoleate (13S)-lipoxygenase) (Lipoxin synthase 12-LO) (EC 3.3.2.-) (Platelet-type lipoxygenase 12)	ALOX12 12LO LOG12	Homo sapiens (Human)	663
P14921	P14921	ETS1_HUMAN	reviewed	Protein C-ets-1 (p54)	ETS1 EWSR2	Homo sapiens (Human)	441
Q9UER7	Q9UER7	DAXX_HUMAN	reviewed	Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein)	DAXX BING2 DAP6	Homo sapiens (Human)	740
Q09472	Q09472	EP300_HUMAN	reviewed	Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-)	EP300 P300	Homo sapiens (Human)	2414
O95835	O95835	LATS1_HUMAN	reviewed	Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts)	LATS1 WARTS	Homo sapiens (Human)	1130
P14653	P14653	HXB1_HUMAN	reviewed	Homeobox protein Hox-B1 (Homeobox protein Hox-2I)	HOXB1 HOX2I	Homo sapiens (Human)	301
O00623	O00623	PEX12_HUMAN	reviewed	Peroxisome assembly protein 12 (Peroxin-12) (Peroxisome assembly factor 3) (PAF-3)	PEX12 PAF3	Homo sapiens (Human)	359
P40855	P40855	PEX19_HUMAN	reviewed	Peroxisomal biogenesis factor 19 (33 kDa housekeeping protein) (Peroxin-19) (Peroxisomal farnesylated protein)	PEX19 HK33 PXF OK/SW-cl.22	Homo sapiens (Human)	299
O75381	O75381	PEX14_HUMAN	reviewed	Peroxisomal membrane protein PEX14 (PTS1 receptor-docking protein) (Peroxin-14) (Peroxisomal membrane anchor protein PEX14)	PEX14	Homo sapiens (Human)	377
O43808	O43808	PM34_HUMAN	reviewed	Peroxisomal membrane protein PMP34 (34 kDa peroxisomal membrane protein) (Solute carrier family 25 member 17)	SLC25A17 PMP34	Homo sapiens (Human)	307
P28288	P28288	ABCD3_HUMAN	reviewed	ATP-binding cassette sub-family D member 3 (70 kDa peroxisomal membrane protein) (PMP70)	ABCD3 PMP70 PXMP1	Homo sapiens (Human)	659
O60683	O60683	PEX10_HUMAN	reviewed	Peroxisome biogenesis factor 10 (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10) (RING finger protein 69)	PEX10 RNF69	Homo sapiens (Human)	326
O96011	O96011	PX11B_HUMAN	reviewed	Peroxisomal membrane protein 11B (Peroxin-11B) (Peroxisomal biogenesis factor 11B) (Protein PEX11 homolog beta) (PEX11-beta)	PEX11B	Homo sapiens (Human)	259
Q07955	Q07955	SRSF1_HUMAN	reviewed	Serine/arginine-rich splicing factor 1 (Alternative-splicing factor 1) (ASF-1) (Splicing factor, arginine/serine-rich 1) (pre-mRNA-splicing factor SF2, P33 subunit)	SRSF1 ASF SF2 SF2P33 SFRS1 OK/SW-cl.3	Homo sapiens (Human)	248
P36897	P36897	TGFR1_HUMAN	reviewed	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	TGFBR1 ALK5 SKR4	Homo sapiens (Human)	503
Q12906	Q12906	ILF3_HUMAN	reviewed	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80)	ILF3 DRBF MPHOSPH4 NF90	Homo sapiens (Human)	894
Q9NRP7	Q9NRP7	STK36_HUMAN	reviewed	Serine/threonine-protein kinase 36 (EC 2.7.11.1) (Fused homolog)	STK36 KIAA1278	Homo sapiens (Human)	1315
P10071	P10071	GLI3_HUMAN	reviewed	Transcriptional activator GLI3 (GLI3 form of 190 kDa) (GLI3-190) (GLI3 full-length protein) (GLI3FL) [Cleaved into: Transcriptional repressor GLI3R (GLI3 C-terminally truncated form) (GLI3 form of 83 kDa) (GLI3-83)]	GLI3	Homo sapiens (Human)	1580
O60671	O60671	RAD1_HUMAN	reviewed	Cell cycle checkpoint protein RAD1 (hRAD1) (EC 3.1.11.2) (DNA repair exonuclease rad1 homolog) (Rad1-like DNA damage checkpoint protein)	RAD1 REC1	Homo sapiens (Human)	282
O60921	O60921	HUS1_HUMAN	reviewed	Checkpoint protein HUS1 (hHUS1)	HUS1	Homo sapiens (Human)	280
O14836	O14836	TR13B_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 13B (Transmembrane activator and CAML interactor) (CD antigen CD267)	TNFRSF13B TACI	Homo sapiens (Human)	293
Q02223	Q02223	TNR17_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 17 (B-cell maturation protein) (CD antigen CD269)	TNFRSF17 BCM BCMA	Homo sapiens (Human)	184
P04271	P04271	S100B_HUMAN	reviewed	Protein S100-B (S-100 protein beta chain) (S-100 protein subunit beta) (S100 calcium-binding protein B)	S100B	Homo sapiens (Human)	92
P06703	P06703	S10A6_HUMAN	reviewed	Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein) (PRA) (S100 calcium-binding protein A6)	S100A6 CACY	Homo sapiens (Human)	90
P31949	P31949	S10AB_HUMAN	reviewed	Protein S100-A11 (Calgizzarin) (Metastatic lymph node gene 70 protein) (MLN 70) (Protein S100-C) (S100 calcium-binding protein A11) [Cleaved into: Protein S100-A11, N-terminally processed]	S100A11 MLN70 S100C	Homo sapiens (Human)	105
P23297	P23297	S10A1_HUMAN	reviewed	Protein S100-A1 (S-100 protein alpha chain) (S-100 protein subunit alpha) (S100 calcium-binding protein A1)	S100A1 S100A	Homo sapiens (Human)	94
P15531	P15531	NDKA_HUMAN	reviewed	Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein)	NME1 NDPKA NM23	Homo sapiens (Human)	152
P19838	P19838	NFKB1_HUMAN	reviewed	Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit]	NFKB1	Homo sapiens (Human)	968
Q9UMX1	Q9UMX1	SUFU_HUMAN	reviewed	Suppressor of fused homolog (SUFUH)	SUFU UNQ650/PRO1280	Homo sapiens (Human)	484
Q13045	Q13045	FLII_HUMAN	reviewed	Protein flightless-1 homolog	FLII FLIL	Homo sapiens (Human)	1269
P43246	P43246	MSH2_HUMAN	reviewed	DNA mismatch repair protein Msh2 (hMSH2) (MutS protein homolog 2)	MSH2	Homo sapiens (Human)	934
O00750	O00750	P3C2B_HUMAN	reviewed	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)	PIK3C2B	Homo sapiens (Human)	1634
O00267	O00267	SPT5H_HUMAN	reviewed	Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)	SUPT5H SPT5 SPT5H	Homo sapiens (Human)	1087
P04198	P04198	MYCN_HUMAN	reviewed	N-myc proto-oncogene protein (Class E basic helix-loop-helix protein 37) (bHLHe37)	MYCN BHLHE37 NMYC	Homo sapiens (Human)	464
Q8IWL2	Q8IWL2	SFTA1_HUMAN	reviewed	Pulmonary surfactant-associated protein A1 (PSP-A) (PSPA) (SP-A) (SP-A1) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-4)	SFTPA1 COLEC4 PSAP SFTP1 SFTPA SFTPA1B	Homo sapiens (Human)	248
P29590	P29590	PML_HUMAN	reviewed	Protein PML (Promyelocytic leukemia protein) (RING finger protein 71) (Tripartite motif-containing protein 19)	PML MYL PP8675 RNF71 TRIM19	Homo sapiens (Human)	882
Q15369	Q15369	ELOC_HUMAN	reviewed	Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Transcription elongation factor B polypeptide 1)	ELOC TCEB1	Homo sapiens (Human)	112
O15389	O15389	SIGL5_HUMAN	reviewed	Sialic acid-binding Ig-like lectin 5 (Siglec-5) (CD33 antigen-like 2) (Obesity-binding protein 2) (OB-BP2) (OB-binding protein 2) (CD antigen CD170)	SIGLEC5 CD33L2 OBBP2	Homo sapiens (Human)	551
P20138	P20138	CD33_HUMAN	reviewed	Myeloid cell surface antigen CD33 (Sialic acid-binding Ig-like lectin 3) (Siglec-3) (gp67) (CD antigen CD33)	CD33 SIGLEC3	Homo sapiens (Human)	364
P01127	P01127	PDGFB_HUMAN	reviewed	Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin)	PDGFB PDGF2 SIS	Homo sapiens (Human)	241
O43557	O43557	TNF14_HUMAN	reviewed	Tumor necrosis factor ligand superfamily member 14 (Herpes virus entry mediator ligand) (HVEM-L) (Herpesvirus entry mediator ligand) (CD antigen CD258) [Cleaved into: Tumor necrosis factor ligand superfamily member 14, membrane form; Tumor necrosis factor ligand superfamily member 14, soluble form]	TNFSF14 HVEML LIGHT UNQ391/PRO726	Homo sapiens (Human)	240
P53992	P53992	SC24C_HUMAN	reviewed	Protein transport protein Sec24C (SEC24-related protein C)	SEC24C KIAA0079	Homo sapiens (Human)	1094
P52294	P52294	IMA5_HUMAN	reviewed	Importin subunit alpha-5 (Karyopherin subunit alpha-1) (Nucleoprotein interactor 1) (NPI-1) (RAG cohort protein 2) (SRP1-beta) [Cleaved into: Importin subunit alpha-5, N-terminally processed]	KPNA1 RCH2	Homo sapiens (Human)	538
P15927	P15927	RFA2_HUMAN	reviewed	Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34)	RPA2 REPA2 RPA32 RPA34	Homo sapiens (Human)	270
P21860	P21860	ERBB3_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)	ERBB3 HER3	Homo sapiens (Human)	1342
