yourlist:M20200510216DA2B77BFBD2E6699CA9B6D1C41EB286EFE0C	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P17861-1	P17861	XBP1_HUMAN	reviewed	X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5) (TREB-5) [Cleaved into: X-box-binding protein 1, cytoplasmic form; X-box-binding protein 1, luminal form]	XBP1 TREB5 XBP2	Homo sapiens (Human)	261
Q06546	Q06546	GABPA_HUMAN	reviewed	GA-binding protein alpha chain (GABP subunit alpha) (Nuclear respiratory factor 2 subunit alpha) (Transcription factor E4TF1-60)	GABPA E4TF1A	Homo sapiens (Human)	454
O15371-1	O15371	EIF3D_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)	EIF3D EIF3S7	Homo sapiens (Human)	548
Q13772-1	Q13772	NCOA4_HUMAN	reviewed	Nuclear receptor coactivator 4 (NCoA-4) (Androgen receptor coactivator 70 kDa protein) (70 kDa AR-activator) (70 kDa androgen receptor coactivator) (Androgen receptor-associated protein of 70 kDa) (Ret-activating protein ELE1)	NCOA4 ARA70 ELE1 RFG	Homo sapiens (Human)	614
P98175-1	P98175	RBM10_HUMAN	reviewed	RNA-binding protein 10 (G patch domain-containing protein 9) (RNA-binding motif protein 10) (RNA-binding protein S1-1) (S1-1)	RBM10 DXS8237E GPATC9 GPATCH9 KIAA0122	Homo sapiens (Human)	930
O14770-4	O14770	MEIS2_HUMAN	reviewed	Homeobox protein Meis2 (Meis1-related protein 1)	MEIS2 MRG1	Homo sapiens (Human)	477
P42574	P42574	CASP3_HUMAN	reviewed	Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	CASP3 CPP32	Homo sapiens (Human)	277
O43184-2	O43184	ADA12_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 12 (ADAM 12) (EC 3.4.24.-) (Meltrin-alpha)	ADAM12 MLTN UNQ346/PRO545	Homo sapiens (Human)	909
Q8IUC3	Q8IUC3	KRA71_HUMAN	reviewed	Keratin-associated protein 7-1 (High tyrosine-glycine keratin-associated protein 7.1)	KRTAP7-1 KAP7.1 KRTAP7.1	Homo sapiens (Human)	87
P61018-1	P61018	RAB4B_HUMAN	reviewed	Ras-related protein Rab-4B	RAB4B PP1596	Homo sapiens (Human)	213
Q01196-8	Q01196	RUNX1_HUMAN	reviewed	Runt-related transcription factor 1 (Acute myeloid leukemia 1 protein) (Core-binding factor subunit alpha-2) (CBF-alpha-2) (Oncogene AML-1) (Polyomavirus enhancer-binding protein 2 alpha B subunit) (PEA2-alpha B) (PEBP2-alpha B) (SL3-3 enhancer factor 1 alpha B subunit) (SL3/AKV core-binding factor alpha B subunit)	RUNX1 AML1 CBFA2	Homo sapiens (Human)	453
Q0D2K3-1	Q0D2K3	RIPP1_HUMAN	reviewed	Protein ripply1	RIPPLY1	Homo sapiens (Human)	151
C9JKN6	C9JKN6	C9JKN6_HUMAN	unreviewed	Thrombospondin type-1 domain-containing protein 7B	THSD7B	Homo sapiens (Human)	1577
P19237	P19237	TNNI1_HUMAN	reviewed	Troponin I, slow skeletal muscle (Troponin I, slow-twitch isoform)	TNNI1	Homo sapiens (Human)	187
Q96BZ8	Q96BZ8	LENG1_HUMAN	reviewed	Leukocyte receptor cluster member 1	LENG1	Homo sapiens (Human)	264
Q8N4C7	Q8N4C7	STX19_HUMAN	reviewed	Syntaxin-19	STX19	Homo sapiens (Human)	294
P18031	P18031	PTN1_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	PTPN1 PTP1B	Homo sapiens (Human)	435
Q8N3J9	Q8N3J9	ZN664_HUMAN	reviewed	Zinc finger protein 664 (Zinc finger protein 176) (Zinc finger protein from organ of Corti)	ZNF664 ZFOC1 ZNF176	Homo sapiens (Human)	261
Q13618-1	Q13618	CUL3_HUMAN	reviewed	Cullin-3 (CUL-3)	CUL3 KIAA0617	Homo sapiens (Human)	768
P02489	P02489	CRYAA_HUMAN	reviewed	Alpha-crystallin A chain (Heat shock protein beta-4) (HspB4) [Cleaved into: Alpha-crystallin A(1-172); Alpha-crystallin A(1-168); Alpha-crystallin A(1-162)]	CRYAA CRYA1 HSPB4	Homo sapiens (Human)	173
H7C3J6	H7C3J6	H7C3J6_HUMAN	unreviewed	Sterile alpha motif domain-containing protein 11 (Fragment)	SAMD11	Homo sapiens (Human)	541
P62195-1	P62195	PRS8_HUMAN	reviewed	26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)	PSMC5 SUG1	Homo sapiens (Human)	406
Q7Z5V6-2	Q7Z5V6	PPR32_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 32	PPP1R32 C11orf66	Homo sapiens (Human)	425
Q9NX04-1	Q9NX04	CA109_HUMAN	reviewed	Uncharacterized protein C1orf109	C1orf109	Homo sapiens (Human)	203
Q7RTU3	Q7RTU3	OLIG3_HUMAN	reviewed	Oligodendrocyte transcription factor 3 (Oligo3) (Class B basic helix-loop-helix protein 7) (bHLHb7) (Class E basic helix-loop-helix protein 20) (bHLHe20)	OLIG3 BHLHB7 BHLHE20	Homo sapiens (Human)	272
Q969G2	Q969G2	LHX4_HUMAN	reviewed	LIM/homeobox protein Lhx4 (LIM homeobox protein 4)	LHX4	Homo sapiens (Human)	390
O43653	O43653	PSCA_HUMAN	reviewed	Prostate stem cell antigen	PSCA UNQ206/PRO232	Homo sapiens (Human)	114
P49736	P49736	MCM2_HUMAN	reviewed	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28)	MCM2 BM28 CCNL1 CDCL1 KIAA0030	Homo sapiens (Human)	904
Q9BU76-1	Q9BU76	MMTA2_HUMAN	reviewed	Multiple myeloma tumor-associated protein 2 (hMMTAG2)	MMTAG2 C1orf35	Homo sapiens (Human)	263
Q8IZ63	Q8IZ63	PRR22_HUMAN	reviewed	Proline-rich protein 22	PRR22	Homo sapiens (Human)	422
A8KAH6	A8KAH6	A8KAH6_HUMAN	unreviewed	Heat shock 27kDa protein 2, isoform CRA_a (Heat-shock protein beta-2) (Protein HSPB2-C11orf52) (cDNA FLJ77220, highly similar to Homo sapiens heat shock 27kDa protein 2 (HSPB2), mRNA)	HSPB2-C11orf52 HSPB2 hCG_39461	Homo sapiens (Human)	182
P52306-5	P52306	GDS1_HUMAN	reviewed	Rap1 GTPase-GDP dissociation stimulator 1 (Exchange factor smgGDS) (SMG GDS protein) (SMG P21 stimulatory GDP/GTP exchange protein)	RAP1GDS1	Homo sapiens (Human)	607
O14668-1	O14668	TMG1_HUMAN	reviewed	Transmembrane gamma-carboxyglutamic acid protein 1 (Proline-rich gamma-carboxyglutamic acid protein 1) (Proline-rich Gla protein 1)	PRRG1 PRGP1 TMG1	Homo sapiens (Human)	218
Q5ST30-1	Q5ST30	SYVM_HUMAN	reviewed	Valine--tRNA ligase, mitochondrial (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS) (Valyl-tRNA synthetase-like)	VARS2 KIAA1885 VARS2L VARSL	Homo sapiens (Human)	1063
O43314-2	O43314	VIP2_HUMAN	reviewed	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.21) (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2) (hsVIP2)	PPIP5K2 HISPPD1 KIAA0433 VIP2	Homo sapiens (Human)	1243
Q8IVT2	Q8IVT2	MISP_HUMAN	reviewed	Mitotic interactor and substrate of PLK1 (Mitotic spindle positioning protein)	MISP C19orf21	Homo sapiens (Human)	679
A0A024R0Y4	A0A024R0Y4	A0A024R0Y4_HUMAN	unreviewed	Transcriptional adapter	TADA2A TADA2L hCG_28187	Homo sapiens (Human)	443
Q15777-1	Q15777	MPPD2_HUMAN	reviewed	Metallophosphoesterase MPPED2 (EC 3.1.-.-) (Fetal brain protein 239) (239FB) (Metallophosphoesterase domain-containing protein 2)	MPPED2 C11orf8 FAM1B	Homo sapiens (Human)	294
K7ER80	K7ER80	K7ER80_HUMAN	unreviewed	Thromboxane A2 receptor	TBXA2R	Homo sapiens (Human)	259
O96004	O96004	HAND1_HUMAN	reviewed	Heart- and neural crest derivatives-expressed protein 1 (Class A basic helix-loop-helix protein 27) (bHLHa27) (Extraembryonic tissues, heart, autonomic nervous system and neural crest derivatives-expressed protein 1) (eHAND)	HAND1 BHLHA27 EHAND	Homo sapiens (Human)	215
Q13049	Q13049	TRI32_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM32 (EC 2.3.2.27) (72 kDa Tat-interacting protein) (RING-type E3 ubiquitin transferase TRIM32) (Tripartite motif-containing protein 32) (Zinc finger protein HT2A)	TRIM32 HT2A	Homo sapiens (Human)	653
C9JCN9	C9JCN9	HSBPL_HUMAN	reviewed	Heat shock factor-binding protein 1-like protein 1	HSBP1L1	Homo sapiens (Human)	74
P80188-1	P80188	NGAL_HUMAN	reviewed	Neutrophil gelatinase-associated lipocalin (NGAL) (25 kDa alpha-2-microglobulin-related subunit of MMP-9) (Lipocalin-2) (Oncogene 24p3) (Siderocalin) (p25)	LCN2 HNL NGAL	Homo sapiens (Human)	198
A0A0C4DGW0	A0A0C4DGW0	A0A0C4DGW0_HUMAN	unreviewed	NEDD4 family-interacting protein 2	NDFIP2	Homo sapiens (Human)	242
P10606	P10606	COX5B_HUMAN	reviewed	Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)	COX5B	Homo sapiens (Human)	129
Q6P2D0-1	Q6P2D0	ZFP1_HUMAN	reviewed	Zinc finger protein 1 homolog (Zfp-1) (Zinc finger protein 475)	ZFP1 ZNF475	Homo sapiens (Human)	407
P07108-2	P07108	ACBP_HUMAN	reviewed	Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP)	DBI	Homo sapiens (Human)	87
P01375	P01375	TNFA_HUMAN	reviewed	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	TNF TNFA TNFSF2	Homo sapiens (Human)	233
Q9NPL8	Q9NPL8	TIDC1_HUMAN	reviewed	Complex I assembly factor TIMMDC1, mitochondrial (Protein M5-14) (Translocase of inner mitochondrial membrane domain-containing protein 1) (TIMM domain containing-protein 1)	TIMMDC1 C3orf1 UNQ247/PRO284	Homo sapiens (Human)	285
Q14416	Q14416	GRM2_HUMAN	reviewed	Metabotropic glutamate receptor 2 (mGluR2)	GRM2 GPRC1B MGLUR2	Homo sapiens (Human)	872
P58505-1	P58505	CU058_HUMAN	reviewed	Uncharacterized protein C21orf58	C21orf58	Homo sapiens (Human)	322
Q15561-2	Q15561	TEAD4_HUMAN	reviewed	Transcriptional enhancer factor TEF-3 (TEA domain family member 4) (TEAD-4) (Transcription factor 13-like 1) (Transcription factor RTEF-1)	TEAD4 RTEF1 TCF13L1 TEF3	Homo sapiens (Human)	434
Q03014	Q03014	HHEX_HUMAN	reviewed	Hematopoietically-expressed homeobox protein HHEX (Homeobox protein HEX) (Homeobox protein PRH)	HHEX HEX PRH PRHX	Homo sapiens (Human)	270
H0YCX2	H0YCX2	H0YCX2_HUMAN	unreviewed	Protein FAM193B (Fragment)	FAM193B	Homo sapiens (Human)	508
P57678	P57678	GEMI4_HUMAN	reviewed	Gem-associated protein 4 (Gemin-4) (Component of gems 4) (p97)	GEMIN4	Homo sapiens (Human)	1058
O75081-1	O75081	MTG16_HUMAN	reviewed	Protein CBFA2T3 (MTG8-related protein 2) (Myeloid translocation gene on chromosome 16 protein) (hMTG16) (Zinc finger MYND domain-containing protein 4)	CBFA2T3 MTG16 MTGR2 ZMYND4	Homo sapiens (Human)	653
Q9BT04-1	Q9BT04	FUZZY_HUMAN	reviewed	Protein fuzzy homolog	FUZ FY	Homo sapiens (Human)	418
P38159-1	P38159	RBMX_HUMAN	reviewed	RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	RBMX HNRPG RBMXP1	Homo sapiens (Human)	391
Q96MP8-2	Q96MP8	KCTD7_HUMAN	reviewed	BTB/POZ domain-containing protein KCTD7	KCTD7	Homo sapiens (Human)	289
A0A0G2JH32	A0A0G2JH32	A0A0G2JH32_HUMAN	unreviewed	Zinc finger protein 41 homolog	ZFP41	Homo sapiens (Human)	199
A1A5C7-2	A1A5C7	S22AN_HUMAN	reviewed	Solute carrier family 22 member 23	SLC22A23 C6orf85	Homo sapiens (Human)	686
Q14656	Q14656	TM187_HUMAN	reviewed	Transmembrane protein 187 (Protein ITBA1)	TMEM187 CXorf12 DXS9878E ITBA1	Homo sapiens (Human)	261
Q5TA82	Q5TA82	LCE2D_HUMAN	reviewed	Late cornified envelope protein 2D (Late envelope protein 12) (Small proline-rich-like epidermal differentiation complex protein 1A)	LCE2D LEP12 SPRL1A	Homo sapiens (Human)	110
Q8TAB5	Q8TAB5	CA216_HUMAN	reviewed	UPF0500 protein C1orf216	C1orf216	Homo sapiens (Human)	229
P10276-1	P10276	RARA_HUMAN	reviewed	Retinoic acid receptor alpha (RAR-alpha) (Nuclear receptor subfamily 1 group B member 1)	RARA NR1B1	Homo sapiens (Human)	462
P21673	P21673	SAT1_HUMAN	reviewed	Diamine acetyltransferase 1 (EC 2.3.1.57) (Polyamine N-acetyltransferase 1) (Putrescine acetyltransferase) (Spermidine/spermine N(1)-acetyltransferase 1) (SSAT) (SSAT-1)	SAT1 SAT	Homo sapiens (Human)	171
Q86UF1	Q86UF1	TSN33_HUMAN	reviewed	Tetraspanin-33 (Tspan-33) (Penumbra) (hPen) (Proerythroblast new membrane)	TSPAN33 PEN	Homo sapiens (Human)	283
P23396-1	P23396	RS3_HUMAN	reviewed	40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	RPS3 OK/SW-cl.26	Homo sapiens (Human)	243
Q9P0N9-1	Q9P0N9	TBCD7_HUMAN	reviewed	TBC1 domain family member 7 (Cell migration-inducing protein 23)	TBC1D7 TBC7 HSPC239	Homo sapiens (Human)	293
A0A0A0MRW1	A0A0A0MRW1	A0A0A0MRW1_HUMAN	unreviewed	Protein FAM219A	FAM219A	Homo sapiens (Human)	156
Q9H3R5	Q9H3R5	CENPH_HUMAN	reviewed	Centromere protein H (CENP-H) (Interphase centromere complex protein 35)	CENPH ICEN35	Homo sapiens (Human)	247
Q8WXB1-1	Q8WXB1	MT21A_HUMAN	reviewed	Protein N-lysine methyltransferase METTL21A (EC 2.1.1.-) (HSPA lysine methyltransferase) (HSPA-KMT) (Hepatocellular carcinoma-associated antigen 557b) (Methyltransferase-like protein 21A)	METTL21A FAM119A HCA557B	Homo sapiens (Human)	218
Q5T4B2-2	Q5T4B2	GT253_HUMAN	reviewed	Inactive glycosyltransferase 25 family member 3 (Cerebral endothelial cell adhesion molecule)	CERCAM CEECAM1 GLT25D3 KIAA1502	Homo sapiens (Human)	595
A0A0A0MR97	A0A0A0MR97	A0A0A0MR97_HUMAN	unreviewed	Bromodomain adjacent to zinc finger domain protein 2B	BAZ2B	Homo sapiens (Human)	643
Q3MJ62	Q3MJ62	ZSC23_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 23 (Zinc finger protein 390) (Zinc finger protein 453)	ZSCAN23 ZNF390 ZNF453	Homo sapiens (Human)	389
Q5TAP6	Q5TAP6	UT14C_HUMAN	reviewed	U3 small nucleolar RNA-associated protein 14 homolog C	UTP14C KIAA0266	Homo sapiens (Human)	766
Q8TBB6	Q8TBB6	S7A14_HUMAN	reviewed	Probable cationic amino acid transporter (Solute carrier family 7 member 14)	SLC7A14 KIAA1613	Homo sapiens (Human)	771
Q86XF7	Q86XF7	ZN575_HUMAN	reviewed	Zinc finger protein 575	ZNF575	Homo sapiens (Human)	245
Q5TA76	Q5TA76	LCE3A_HUMAN	reviewed	Late cornified envelope protein 3A (Late envelope protein 13)	LCE3A LEP13	Homo sapiens (Human)	89
Q92917	Q92917	GPKOW_HUMAN	reviewed	G-patch domain and KOW motifs-containing protein (G-patch domain-containing protein 5) (Protein MOS2 homolog) (Protein T54)	GPKOW GPATC5 GPATCH5 T54	Homo sapiens (Human)	476
O60238-1	O60238	BNI3L_HUMAN	reviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like (Adenovirus E1B19K-binding protein B5) (BCL2/adenovirus E1B 19 kDa protein-interacting protein 3A) (NIP3-like protein X) (NIP3L)	BNIP3L BNIP3A BNIP3H NIX	Homo sapiens (Human)	219
P25025	P25025	CXCR2_HUMAN	reviewed	C-X-C chemokine receptor type 2 (CXC-R2) (CXCR-2) (CDw128b) (GRO/MGSA receptor) (High affinity interleukin-8 receptor B) (IL-8R B) (IL-8 receptor type 2) (CD antigen CD182)	CXCR2 IL8RB	Homo sapiens (Human)	360
P62324	P62324	BTG1_HUMAN	reviewed	Protein BTG1 (B-cell translocation gene 1 protein)	BTG1	Homo sapiens (Human)	171
Q7Z353-1	Q7Z353	HDX_HUMAN	reviewed	Highly divergent homeobox	HDX CXorf43	Homo sapiens (Human)	690
Q8N6N7	Q8N6N7	ACBD7_HUMAN	reviewed	Acyl-CoA-binding domain-containing protein 7	ACBD7	Homo sapiens (Human)	88
P13349	P13349	MYF5_HUMAN	reviewed	Myogenic factor 5 (Myf-5) (Class C basic helix-loop-helix protein 2) (bHLHc2)	MYF5 BHLHC2	Homo sapiens (Human)	255
Q15691	Q15691	MARE1_HUMAN	reviewed	Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1)	MAPRE1	Homo sapiens (Human)	268
O95793-1	O95793	STAU1_HUMAN	reviewed	Double-stranded RNA-binding protein Staufen homolog 1	STAU1 STAU	Homo sapiens (Human)	577
Q969H6-1	Q969H6	POP5_HUMAN	reviewed	Ribonuclease P/MRP protein subunit POP5 (hPop5) (EC 3.1.26.5)	POP5 AD-008 HSPC004 x0003	Homo sapiens (Human)	163
Q9NPJ8-3	Q9NPJ8	NXT2_HUMAN	reviewed	NTF2-related export protein 2 (Protein p15-2)	NXT2 BM-025 DC9	Homo sapiens (Human)	142
Q6ICL7-1	Q6ICL7	S35E4_HUMAN	reviewed	Solute carrier family 35 member E4	SLC35E4	Homo sapiens (Human)	350
O43159	O43159	RRP8_HUMAN	reviewed	Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1) (Nucleomethylin)	RRP8 KIAA0409 NML hucep-1	Homo sapiens (Human)	456
Q8IYX3-2	Q8IYX3	CC116_HUMAN	reviewed	Coiled-coil domain-containing protein 116	CCDC116	Homo sapiens (Human)	613
Q8IYR0	Q8IYR0	CF206_HUMAN	reviewed	Cilia- and flagella-associated protein 206	CFAP206 C6orf165	Homo sapiens (Human)	622
O60880-1	O60880	SH21A_HUMAN	reviewed	SH2 domain-containing protein 1A (Duncan disease SH2-protein) (Signaling lymphocytic activation molecule-associated protein) (SLAM-associated protein) (T-cell signal transduction molecule SAP)	SH2D1A DSHP SAP	Homo sapiens (Human)	128
O43924	O43924	PDE6D_HUMAN	reviewed	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta (GMP-PDE delta) (Protein p17)	PDE6D PDED	Homo sapiens (Human)	150
Q8WUD1-1	Q8WUD1	RAB2B_HUMAN	reviewed	Ras-related protein Rab-2B	RAB2B	Homo sapiens (Human)	216
Q15642-2	Q15642	CIP4_HUMAN	reviewed	Cdc42-interacting protein 4 (Protein Felic) (Salt tolerant protein) (hSTP) (Thyroid receptor-interacting protein 10) (TR-interacting protein 10) (TRIP-10)	TRIP10 CIP4 STOT STP	Homo sapiens (Human)	601
Q9NT22-1	Q9NT22	EMIL3_HUMAN	reviewed	EMILIN-3 (EMILIN-5) (Elastin microfibril interface-located protein 3) (Elastin microfibril interfacer 3) (Elastin microfibril interface-located protein 5) (Elastin microfibril interfacer 5)	EMILIN3 C20orf130 EMILIN5	Homo sapiens (Human)	766
Q8IY22-3	Q8IY22	CMIP_HUMAN	reviewed	C-Maf-inducing protein (c-Mip) (Truncated c-Maf-inducing protein) (Tc-Mip)	CMIP KIAA1694 TCMIP	Homo sapiens (Human)	773
P15172	P15172	MYOD1_HUMAN	reviewed	Myoblast determination protein 1 (Class C basic helix-loop-helix protein 1) (bHLHc1) (Myogenic factor 3) (Myf-3)	MYOD1 BHLHC1 MYF3 MYOD	Homo sapiens (Human)	320
P51178-1	P51178	PLCD1_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-1) (Phospholipase C-III) (PLC-III) (Phospholipase C-delta-1) (PLC-delta-1)	PLCD1	Homo sapiens (Human)	756
A0A0C4DFU2	A0A0C4DFU2	A0A0C4DFU2_HUMAN		Deleted.			
F5H269	F5H269	F5H269_HUMAN	unreviewed	DmX-like protein 1	DMXL1	Homo sapiens (Human)	3048
O14561	O14561	ACPM_HUMAN	reviewed	Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)	NDUFAB1	Homo sapiens (Human)	156
O95447	O95447	LCA5L_HUMAN	reviewed	Lebercilin-like protein (Leber congenital amaurosis 5-like protein)	LCA5L C21orf13	Homo sapiens (Human)	670
Q60I27-1	Q60I27	AL2CL_HUMAN	reviewed	ALS2 C-terminal-like protein	ALS2CL	Homo sapiens (Human)	953
P51798-1	P51798	CLCN7_HUMAN	reviewed	H(+)/Cl(-) exchange transporter 7 (Chloride channel 7 alpha subunit) (Chloride channel protein 7) (ClC-7)	CLCN7	Homo sapiens (Human)	805
P0C7X2-1	P0C7X2	ZN688_HUMAN	reviewed	Zinc finger protein 688	ZNF688	Homo sapiens (Human)	276
Q5T7P8-2	Q5T7P8	SYT6_HUMAN	reviewed	Synaptotagmin-6 (Synaptotagmin VI) (SytVI)	SYT6	Homo sapiens (Human)	510
O00305-1	O00305	CACB4_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit beta-4 (CAB4) (Calcium channel voltage-dependent subunit beta 4)	CACNB4 CACNLB4	Homo sapiens (Human)	520
Q8WZ19	Q8WZ19	BACD1_HUMAN	reviewed	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1 (hBACURD1) (BTB/POZ domain-containing protein KCTD13) (Polymerase delta-interacting protein 1) (TNFAIP1-like protein)	KCTD13 BACURD1 PDIP1 POLDIP1 FKSG86 PP6832	Homo sapiens (Human)	329
P18825	P18825	ADA2C_HUMAN	reviewed	Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)	ADRA2C ADRA2L2 ADRA2RL2	Homo sapiens (Human)	462
Q68G74-1	Q68G74	LHX8_HUMAN	reviewed	LIM/homeobox protein Lhx8 (LIM homeobox protein 8)	LHX8	Homo sapiens (Human)	356
O43610	O43610	SPY3_HUMAN	reviewed	Protein sprouty homolog 3 (Spry-3)	SPRY3	Homo sapiens (Human)	288
Q96HR3-1	Q96HR3	MED30_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 30 (Mediator complex subunit 30) (TRAP/Mediator complex component TRAP25) (Thyroid hormone receptor-associated protein 6) (Thyroid hormone receptor-associated protein complex 25 kDa component) (Trap25)	MED30 THRAP6 TRAP25	Homo sapiens (Human)	178
P53365-1	P53365	ARFP2_HUMAN	reviewed	Arfaptin-2 (ADP-ribosylation factor-interacting protein 2) (Partner of RAC1) (Protein POR1)	ARFIP2 POR1	Homo sapiens (Human)	341
A0A087WU67	A0A087WU67	A0A087WU67_HUMAN	unreviewed	Fatty acid desaturase 6 (Fatty acid desaturase domain family, member 6, isoform CRA_a)	FADS6 hCG_2043034	Homo sapiens (Human)	350
P34741	P34741	SDC2_HUMAN	reviewed	Syndecan-2 (SYND2) (Fibroglycan) (Heparan sulfate proteoglycan core protein) (HSPG) (CD antigen CD362)	SDC2 HSPG1	Homo sapiens (Human)	201
Q9C0F1-1	Q9C0F1	CEP44_HUMAN	reviewed	Centrosomal protein of 44 kDa (Cep44) (HBV PreS1-transactivated protein 3) (PS1TP3)	CEP44 KIAA1712	Homo sapiens (Human)	390
Q6A163	Q6A163	K1C39_HUMAN	reviewed	Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)	KRT39 KA35	Homo sapiens (Human)	491
Q2QGD7-1	Q2QGD7	ZXDC_HUMAN	reviewed	Zinc finger protein ZXDC (ZXD-like zinc finger protein)	ZXDC ZXDL	Homo sapiens (Human)	858
A0A0C4DFW7	A0A0C4DFW7	A0A0C4DFW7_HUMAN	unreviewed	Kelch-like protein 35	KLHL35	Homo sapiens (Human)	363
Q9BSE2	Q9BSE2	TMM79_HUMAN	reviewed	Transmembrane protein 79 (Mattrin)	TMEM79 MATT	Homo sapiens (Human)	394
P43360	P43360	MAGA6_HUMAN	reviewed	Melanoma-associated antigen 6 (Cancer/testis antigen 1.6) (CT1.6) (MAGE-6 antigen) (MAGE3B antigen)	MAGEA6 MAGE6	Homo sapiens (Human)	314
Q5TA81	Q5TA81	LCE2C_HUMAN	reviewed	Late cornified envelope protein 2C (Late envelope protein 11)	LCE2C LEP11	Homo sapiens (Human)	110
Q9NSC5-1	Q9NSC5	HOME3_HUMAN	reviewed	Homer protein homolog 3 (Homer-3)	HOMER3	Homo sapiens (Human)	361
Q9NP98	Q9NP98	MYOZ1_HUMAN	reviewed	Myozenin-1 (Calsarcin-2) (Filamin-, actinin- and telethonin-binding protein) (Protein FATZ)	MYOZ1 MYOZ	Homo sapiens (Human)	299
P50402	P50402	EMD_HUMAN	reviewed	Emerin	EMD EDMD STA	Homo sapiens (Human)	254
Q8N3Z6-1	Q8N3Z6	ZCHC7_HUMAN	reviewed	Zinc finger CCHC domain-containing protein 7 (TRAMP-like complex RNA-binding factor ZCCHC7)	ZCCHC7 HSPC086	Homo sapiens (Human)	543
Q03395	Q03395	ROM1_HUMAN	reviewed	Rod outer segment membrane protein 1 (ROSP1) (Tetraspanin-23) (Tspan-23)	ROM1 TSPAN23	Homo sapiens (Human)	351
Q5SQQ9-2	Q5SQQ9	VAX1_HUMAN	reviewed	Ventral anterior homeobox 1	VAX1	Homo sapiens (Human)	334
A0A087WWA7	A0A087WWA7	A0A087WWA7_HUMAN	unreviewed	Segment polarity protein dishevelled homolog DVL-1	DVL1	Homo sapiens (Human)	444
D3DX48	D3DX48	D3DX48_HUMAN	unreviewed	MAGUK p55 subfamily member 2 (Membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2), isoform CRA_b)	MPP2 hCG_30288	Homo sapiens (Human)	552
